Chapter,Section,Vocab Item,Translation,Prompt Category,Frequency,PictureName
4,verbos,costar (ue),to cost,MC,626,null
4,verbos,decir (g/ i),to say/ to tell,Sinónimo de hablar.,28,null
4,verbos,dedicar,to dedicate,MC,415,null
4,verbos,desayunar,to have breakfast,Comer en la mañana.,4588,null
4,verbos,despertar(se) (ie),to wake (someone up); to wake up,El opuesto de dormirse.,734,null
4,verbos,dormir (ue) la siesta,to take a nap,Dormir un poco durante el día.,4176,null
4,verbos,dormir(se) (ue),to sleep; to fall asleep,El opuesto de despertarse.,857,null
4,verbos,duchar(se),to give a shower to; to take a shower,picture,0,ducharse
4,verbos,empezar (ie),to begin/ to start,El opuesto de terminar.,161,null
4,verbos,encontrar (ue),to find,Después de buscar.,100,null
4,verbos,entender (ie),to understand,Sinónimo de comprender,203,null
4,verbos,llamar(se),to call; to be called,MC,104,null
4,verbos,hacer,to do,MC,25,null
4,verbos,jugar (ue),to play (a game/ sport),MC,355,null
4,verbos,lavar(se),to wash (oneself),picture,1762,lavarse
4,verbos,levantar(se),to raise; to get up,El opuesto de acostarse.,372,null
4,verbos,maquillar(se),to put makeup on (someone); to put makeup on (oneself),picture,0,maquillarse
4,verbos,pasar,to spend (time),MC,67,null
4,verbos,pasear,to take a walk/ to stroll,Sinónimo de caminar.,1985,null
4,verbos,pedir (i),to ask for; to order,MC,204,null
4,verbos,peinar(se),to comb (someone´s hair); to comb (one´s hair),picture,0,peinarse
4,verbos,pensar (ie),to think,MC,106,null
4,verbos,pensar (ie) + infinitive,to plan to + verb,MC,106,null
4,verbos,poder (ue),to be able to/ can,MC,428,null
4,verbos,poner(se) (g) la ropa,to put one´s clothes on,El opuesto de quitarse la ropa.,77,null
4,verbos,preferir (ie),to prefer,MC,541,null
4,verbos,querer (ie),to want,Sinónimo de desear.,57,null
4,verbos,quitar(se),to take away; to take off,El opuesto de ponerse.,669,null
4,verbos,repetir (i),to repeat,Hacer algo muchas veces.,382,null
4,verbos,secar(se),to dry (oneself),picture,2496,secarse
4,verbos,seguir (i),to follow/ to go on,MC,97,null
4,verbos,sentarse (ie),to sit down,MC,710,null
4,verbos,sentir(se) (ie),to feel,MC,3690,null
4,verbos,servir (i),to serve,MC,226,null
4,verbos,tener (g/ ie),to have,MC,18,null
4,verbos,terminar,to finish,El opuesto de empezar.,219,null
4,verbos,venir (g/ ie),to come,MC,105,null
4,verbos,vestir(se) (i),to dress; to get dressed,Sinónimo de ponerse la ropa.,1317,null
4,verbos,visitar,to visit,MC,834,null
4,verbos,volver (ue),to return,MC,112,null
4,title,palabras y expreciones útiles,useful words and expressions,MC,0,null
4,palabras y expreciones útiles,el bautizo,baptism/ christening,MC,0,null
4,palabras y expreciones útiles,la foto(grafía),photo(graph),picture,2054,foto
4,palabras y expreciones útiles,frecuentemente,frequently/ often,MC,3753,null
4,palabras y expreciones útiles,juntos/as,together,MC,378,null
4,palabras y expreciones útiles,el/la mayor,the oldest,El opuesto del menor.,138,null
4,palabras y expreciones útiles,el matrimonio,marriage,MC,1109,null
4,palabras y expreciones útiles,el/la menor,the youngest,El opuesto del mayor.,334,null
4,palabras y expreciones útiles,tarde,late,El opuesto de temprano,242,null
4,palabras y expreciones útiles,temprano,early,El opuesto de tarde.,1200,null
4,palabras y expreciones útiles,un poco,a little,El opuesto de mucho.,74,null
4,title,expresiones de tiempo,time expressions,MC,0,null
4,expresiones de tiempo,primero,first,El opuesto de último.,60,null
4,expresiones de tiempo,luego,later,MC,132,null
4,expresiones de tiempo,poco después,a little later,MC,87,null
4,expresiones de tiempo,más tarde,later,MC,242,null
4,expresiones de tiempo,por último,lastly,MC,139,null
4,title,otras expresiones con pensar,other expressions with pensar,MC,0,null
4,otras expresiones con pensar,pensar en,to think about (someone/ something),MC,106,null
4,otras expresiones con pensar,pensar de,to ask for an opinion,MC,106,null
4,otras expresiones con pensar,pensar que,to answer with an opinion,MC,106,null
4,title,expresiones con hacer,expressions with hacer,MC,0,null
4,expresiones con hacer,hace + length of time + que + present tense,to say that an action/state began in the past and continues into the present,MC,25,null
4,expresiones con hacer,¿cuánto tiempo + hace que + present tense?,how long has/have (subject) been (activity)?,MC,68,null
