Chapter,Section,VocabItem,Translation,PromptCategory,Frequency,PictureName
0,cognados,importante,important,picture,207,importante
0,cognados,independiente,independent,picture,1291,independiente
0,cognados,inteligente,intelligent,picture,1447,inteligente
0,cognados,interesante,interesting,picture,762,interesante
0,cognados,optimista,optimistic,picture,3030,optimista
0,cognados,paciente,patient,picture,1511,paciente
0,cognados,perfectionista,perfectionistic,picture,0,perfecctionista
0,cognados,pesimista,pessimistic,picture,0,pesimista
0,cognados,popular,popular,picture,709,popular
0,cognados,responsable,responsable,picture,955,responsable
0,cognados,sentimental,sentimental,picture,2646,sentimental
0,cognados,tradicional,traditional,picture,1309,tradicional
0,cognados,activo/a,active,picture,1328,activo
0,cognados,ambicioso/a,ambitious,picture,3310,ambicioso
0,cognados,atlético/a,athletic,picture,0,atletico
0,cognados,atractivo/a,atractive,picture,2131,atractivo
0,cognados,cómico/a,comical,picture,3485,comico
0,cognados,creativo/a,creative,picture,3551,creativo
0,cognados,dinámico/a,dynamic,picture,4064,dinamico
0,cognados,extrovertido/a,extroverted,picture,0,extrovertido
0,cognados,generoso/a,generous,picture,2398,generoso
0,cognados,impulsivo/a,impulsive,picture,0,impulsivo
0,cognados,introvertido/a,introverted,picture,0,introvertido
0,cognados,moderno/a,modern,picture,671,moderno
0,cognados,nervioso,nervous,picture,1410,nervioso
0,cognados,nerviosa,nervous,picture,1410,nerviosa
0,cognados,pasivo/a,passive,picture,4317,pasivo
0,cognados,religioso/a,religious,picture,886,religioso
0,cognados,romántico/a,romantic,picture,2338,romantico
0,cognados,serio/a,serious,picture,545,serio
0,cognados,sincero/a,sincere,picture,2915,sincero
0,cognados,tímido/a,timid,picture,2795,timido
0,cognados,tranquilo/a,calm,picture,1144,tranquila
0,title,los números,numbers,MC,0,null
0,los números,cero,zero,0,2284,null
0,los números,uno,one,1,72,null
0,los números,dos,two,2,56,null
0,los números,tres,three,3,119,null
0,los números,cuatro,four,4,188,null
0,los números,cinco,five,5,231,null
0,los números,seis,six,6,375,null
0,los números,siete,seven,7,470,null
0,los números,ocho,eight,8,492,null
0,los números,nueve,nine,9,786,null
0,los números,diez,ten,10,346,null
0,los números,once,eleven,11,1455,null
0,los números,doce,twelve,12,823,null
0,los números,trece,thirteen,13,2115,null
0,los números,catorce,fourteen,14,2278,null
0,los números,quince,fifteen,15,1033,null
0,los números,dieciséis,sixteen,16,2793,null
0,los números,diecisiete,seventeen,17,3446,null
0,los números,dieciocho,eighteen,18,2694,null
0,los números,diecinueve,nineteen,19,0,null
0,los números,veinte,twenty,20,582,null
0,los números,veintiuno,twenty-one,21,0,null
0,los números,veintidós,twenty-two,22,4873,null
0,los números,vientitrés,twenty-three,23,0,null
0,los números,treinta,thirty,30,722,null
0,los números,treinta y uno,thirty-one,31,722,null
0,los números,cuarenta,forty,40,943,null
0,los números,cincuenta,fifty,50,782,null
0,los números,sesenta,sixty,60,1306,null
0,los números,setenta,seventy,70,1773,null
0,los números,ochenta,eighty,80,2120,null
0,los números,noventa,ninety,90,3417,null
0,title,decir la hora,telling time,MC,0,null
0,decir la hora,¿Qué hora es?,What time is it?,MC,143,null
0,decir la hora,Es la.../Son las...,It is...,MC,8,null
0,decir la hora,y cuarto/y quince,and a quarter/fifteen,MC,655,null
0,decir la hora,y media/y treinta,and a half/thirty,MC,2342,null
0,decir la hora,menos,to/till,MC,98,null
0,decir la hora,y + minutos,and + minutes,MC,4,null
0,decir la hora,en punto,on the dot/sharp,MC,147,null
0,decir la hora,de la mañana,(from midnight to noon),MC,401,null
0,decir la hora,de la tarde,(from noon to nightfall),MC,242,null
0,decir la hora,de la noche,(from nightfall to midnight),MC,196,null
1,title,las materias o asignaturas,subjects,MC,0,null
1,las materias o asignaturas,la antropología,anthropology,Estudiar personas.,0,null
1,las materias o asignaturas,la arquitectura,architecture,Estudiar casas.,2516,null
1,las materias o asignaturas,las ciencias políticas,political science,Estudiar derechos.,284,null
1,las materias o asignaturas,la economía,economics,Estudiar el dinero.,1504,null
1,las materias o asignaturas,el español,Spanish,MC,285,null
1,las materias o asignaturas,la estadística,statistics,Estudiar matemáticas.,3339,null
1,las materias o asignaturas,la geografía,geography,Estudiar lugares.,2670,null
1,las materias o asignaturas,la historia,history,MC,192,null
1,las materias o asignaturas,la informática/la computación,computer science,Estudiar computadoras.,0,null
1,las materias o asignaturas,la literatura,literature,Estudiar libros.,1090,null
1,las materias o asignaturas,la psicología,psychology,MC,4437,null
1,las materias o asignaturas,la sociología,sociology,MC,0,null
1,title,los lugares,places,MC,0,null
1,los lugares,la biblioteca,library,Lugar para leer.,1825,null
1,los lugares,el café,café/ coffee shop,MC,1250,null
1,los lugares,la cafetería,cafeteria,Lugar para comer.,0,null
1,los lugares,la casa,house/ home,MC,116,null
1,los lugares,la discoteca,dance club,Lugar para bailar.,0,null
1,los lugares,el gimnasio,gymnasium,MC,0,null
1,los lugares,el laboratorio,laboratory,Lugar para las ciencias.,2264,null
1,los lugares,la librería,bookstore,Lugar para comprar libros.,4577,null
1,los lugares,la oficina,office,Lugar para trabajar.,1113,null
1,los lugares,la playa,beach,MC,1713,null
1,los lugares,la plaza,plaza/ square,MC,1020,null
1,los lugares,la universidad,university,Lugar para aprender.,1473,null
1,title,las facultades,schools/ departments,MC,0,null
1,las facultades,de Ciencias,of Sciences,MC,775,null
1,las facultades,de Derecho,of Law,MC,427,null
1,las facultades,de Humanidades,of Humanities,MC,1566,null
1,las facultades,de Informática,of Computer Science,MC,0,null
1,las facultades,de Medicina,of Medicine,MC,1725,null
1,title,las personas,people,MC,0,null
1,las personas,el alumno/la alumna,student,MC,969,null
1,las personas,el compañero/la compañera,partner/ classmate,MC,693,null
1,las personas,el dependiente/la dependienta,salesperson,MC,0,null
1,las personas,ellos/ellas,they,MC,41,null
1,las personas,nosotros/nosotras,we,MC,191,null
1,las personas,ustedes,you (plural),MC,269,null
1,las personas,vosotros/as,you (plural),MC,4132,null
1,title,palabras y expreciones útiles,useful words and expressions,MC,0,null
1,palabras y expreciones útiles,ahora,now,MC,85,null
1,palabras y expreciones útiles,algo,something,MC,101,null
1,palabras y expreciones útiles,¡Buena suerte!,Good luck!,MC,725,null
1,palabras y expreciones útiles,¿Cómo te va?,How is it going?,MC,126,null
1,palabras y expreciones útiles,con,with,MC,13,null
1,palabras y expreciones útiles,¿Cuántas clases tienes?,How many classes do you have?,MC,288,null
1,palabras y expreciones útiles,¿Cuánto cuesta?,How much is it?,picture,626,cuanto cuesta
1,palabras y expreciones útiles,el diccionario,dictionary,picture,4223,diccionario
1,palabras y expreciones útiles,este/a,this,MC,29,null
1,palabras y expreciones útiles,el examen,test,MC,1286,null
1,palabras y expreciones útiles,el euro,euro,picture,0,euro
1,palabras y expreciones útiles,el fin de semana,weekend,MC,156,null
1,palabras y expreciones útiles,el mapa,map,picture,2185,mapa
1,palabras y expreciones útiles,para,for/ to,MC,15,null
1,palabras y expreciones útiles,pero,but,MC,23,null
1,palabras y expreciones útiles,porque,because,MC,38,null
1,palabras y expreciones útiles,¡Qué lástima!,What a pity!,MC,3294,null
1,palabras y expreciones útiles,solo,only,MC,102,null
1,palabras y expreciones útiles,también,also,MC,53,null
1,palabras y expreciones útiles,la tarea,homework,MC,585,null
1,palabras y expreciones útiles,tengo/tienes,I have/you have,MC,18,null
1,palabras y expreciones útiles,¿verdad?,right?,MC,209,null
1,title,las descripciones,descriptions,MC,0,null
1,las descripciones,aburrido/a,boring,MC,2813,null
1,las descripciones,antiguo/a,old,MC,348,null
1,las descripciones,bueno/a,good,picture,115,bueno
1,las descripciones,difícil,difficult,MC,314,null
1,las descripciones,estudioso/a,studious,MC,3940,null
1,las descripciones,excelente,excellent,MC,1273,null
1,las descripciones,fácil,easy,MC,514,null
1,las descripciones,favorito/a,favorite,MC,2699,null
1,las descripciones,grande,big,picture,62,grande
1,las descripciones,interesante,interesting,MC,762,null
1,las descripciones,malo/a,bad,picture,275,malo
1,las descripciones,norteamericano/a,North American,MC,1246,null
1,las descripciones,pequeño/a,small,picture,184,pequeno
1,title,palabras interrogativas,interrogative words,MC,0,null
1,palabras interrogativas,¿cómo?,how?/what?,MC,126,null
1,palabras interrogativas,¿cuándo?,when?,MC,1199,null
1,palabras interrogativas,¿cuál(es)?,which?,MC,395,null
1,palabras interrogativas,¿cuánto/a?,how much?,MC,723,null
1,palabras interrogativas,¿cuántos/as?,how many?,MC,723,null
1,palabras interrogativas,¿dónde?,where?,MC,421,null
1,palabras interrogativas,¿para qué?,why?/what for?,MC,15,null
1,palabras interrogativas,¿por qué?,why?,MC,12,null
1,palabras interrogativas,¿qué?,what?,MC,47,null
1,palabras interrogativas,¿quién(es)?,who?,MC,292,null
1,title,expreciones de frecuencia,expressions of frequency,MC,0,null
1,expreciones de frecuencia,a veces,sometimes,MC,44,null
1,expreciones de frecuencia,muchas veces,many times,MC,44,null
1,expreciones de frecuencia,nunca,never,El opuesto de siempre.,151,null
1,expreciones de frecuencia,siempre,always,El opuesto de nunca.,90,null
1,expreciones de frecuencia,todas las semanas,every week,MC,304,null
1,expreciones de frecuencia,todos los días/meses,every day/month,MC,71,null
1,title,verbos,verbs,MC,0,null
1,verbos,aprender,to learn,MC,422,null
1,verbos,asistir,to attend,MC,822,null
1,verbos,bailar,to dance,picture,2071,bailar
1,verbos,beber,to drink,picture,1476,beber
1,verbos,buscar,to look for,picture,173,buscar
1,verbos,caminar,to walk,picture,919,caminar
1,verbos,comer,to eat,picture,389,comer
1,verbos,comprar,to buy,picture,437,comprar
1,verbos,comprender,to understand,MC,306,null
1,verbos,conversar,to talk/ to converse,picture,2507,conversar
1,verbos,correr,to run,picture,332,correr
1,verbos,deber,should,MC,75,null
1,verbos,escribir,to write,picture,187,escribir
1,verbos,escuchar,to listen (to),picture,360,escuchar
1,verbos,estar,to be,MC,17,null
1,verbos,estudiar,to study,MC,328,null
1,verbos,hablar,to speak,picture,92,hablar
1,verbos,leer,to read,picture,244,leer
1,verbos,llegar,to arrive,MC,66,null
1,verbos,mirar,to look (at),picture,142,mirar
1,verbos,montar (en bicicleta),to ride (a bicycle),picture,998,montar
1,verbos,necesitar,to need,MC,229,null
1,verbos,participar,to participate,MC,750,null
1,verbos,practicar,to practice,MC,1303,null
1,verbos,responder,to respond,picture,456,responder
1,verbos,sacar buenas/malas notas,to get good/bad grades,picture,853,sacar buenas o malas notas
1,verbos,tomar,to take/ to drink,Sinónimo de beber,122,null
1,verbos,tomar apuntes/notas,to take notes,MC,3599,null
1,verbos,trabajar,to work,MC,183,null
1,verbos,ver,to see,Sinónimo de mirar.,37,null
1,verbos,vivir,to live,MC,128,null
2,title,las descripciones,descriptions,MC,0,null
2,las descripciones,agradable,nice,El opuesto de antipático.,1724,null
2,las descripciones,alegre,happy/ glad,El opuesto de triste.,2304,null
2,las descripciones,alto/a,tall,El opuesto de bajo.,185,null
2,las descripciones,antipático/a,unpleasant,El opuesto de agradable.,0,null
2,las descripciones,bajo/a,short (in stature),El opuesto de alto.,214,null
2,las descripciones,bilingüe,bilingual,Habla español e inglés.,0,null
2,las descripciones,bonito/a,pretty,El opuesto de feo.,1707,null
2,las descripciones,callado/a,quiet,No habla mucho.,3095,null
2,las descripciones,cansado/a,tired,MC,2147,null
2,las descripciones,casado/a,married,El opuesto de soltero.,1830,null
2,las descripciones,contento/a,happy/ glad,MC,1642,null
2,las descripciones,conversador/a,talkative,Habla mucho.,0,null
2,las descripciones,corto/a,short (in length),El opuesto de largo.,537,null
2,las descripciones,de estatura mediana,average/ medium height,Ni bajo ni alto.,4098,null
2,las descripciones,débil,weak,El opuesto de fuerte.,1284,null
2,las descripciones,delgado/a,thin,El opuesto de gordo.,3039,null
2,las descripciones,divertido,funny/ amusing,El opuesto de aburrido.,2553,null
2,las descripciones,enojado/a,angry,picture,0,enojado
2,las descripciones,feo/a,ugly,El opuesto de bonito.,2381,null
2,las descripciones,fuerte,strong,El opuesto de débil.,1010,null
2,las descripciones,gordo/a,fat,El opuesto de delgado.,2217,null
2,las descripciones,guapo/a,good-looking/ handsome,MC,4140,null
2,las descripciones,hispano/a,Hispanic,Persona que habla español.,4983,null
2,las descripciones,joven,young,El opuesto de mayor.,442,null
2,las descripciones,largo/a,long,El opuesto de corto.,175,null
2,las descripciones,listo/a,smart; ready,El opuesto de tonto.,1456,null
2,las descripciones,mayor,old,El opuesto de joven.,138,null
2,las descripciones,moreno/a,brunette,picture,2303,moreno
2,las descripciones,nervioso/a,nervous,picture,1410,nerviosa
2,las descripciones,nuevo/a,new,MC,99,null
2,las descripciones,oscuro/a,dark,MC,888,null
2,las descripciones,pelirrojo/a,redhead,picture,0,pelirrojo
2,las descripciones,perezoso/a,lazy,No trabaja mucho.,0,null
2,las descripciones,pobre,poor,El opuesto de rico.,373,null
2,las descripciones,rico/a,rich. wealthy,El opuesto de pobre.,627,null
2,las descripciones,rubio/a,blond,picture,3269,rubio
2,las descripciones,simpático/a,nice/ charming,MC,2590,null
2,las descripciones,soltero/a,single,El opuesto de casado.,3175,null
2,las descripciones,tonto/a,silly/ foolish,El opuesto de listo.,2191,null
2,las descripciones,trabajador/a,hardworking,Trabaja mucho.,1714,null
2,las descripciones,triste,sad,El opuesto de contento.,1314,null
2,las descripciones,viejo/a,old,MC,281,null
2,title,verbos,verbs,MC,0,null
2,verbos,desear,to wish/ to want,MC,515,null
2,verbos,ser,to be,MC,8,null
2,verbos,usar,to use,MC,380,null
2,title,los colores,colors,MC,0,null
2,los colores,amarillo/a,yellow,picture,1586,amarillo
2,los colores,anaranjado/a,orange,picture,0,anaranjado
2,los colores,azul,blue,picture,904,azul
2,los colores,blanco/a,white,picture,250,blanco
2,los colores,castaño/a,brown,picture,0,castano
2,los colores,gris,gray,picture,2290,gris
2,los colores,marrón,brown,Sinónimo de castaño.,4951,null
2,los colores,morado/a,purple,picture,0,morado
2,los colores,negro/a,black,picture,317,negro
2,los colores,rojo/a,red,picture,533,rojo
2,los colores,rosado/a/ rosa,pink,picture,4461,rosado
2,los colores,verde,green,picture,878,verde
2,title,las nacionalidades,nationalities,MC,0,null
2,las nacionalidades,alemán/alemana,German,MC,963,null
2,las nacionalidades,argentino/a,Argentinian,MC,1626,null
2,las nacionalidades,boliviano/a,Bolivian,MC,0,null
2,las nacionalidades,canadiense,Canadian,MC,0,null
2,las nacionalidades,chileno/a,Chilean,MC,3164,null
2,las nacionalidades,chino/a,Chinese,MC,1444,null
2,las nacionalidades,colombiano/a,Colombian,MC,4695,null
2,las nacionalidades,costarricense,Costa Rican,MC,0,null
2,las nacionalidades,cubano/a,Cuban,MC,3905,null
2,las nacionalidades,dominicano/a,Dominican,MC,0,null
2,las nacionalidades,ecuatoriano/a,Ecuadorian,MC,0,null
2,las nacionalidades,español/a,Spanish,MC,285,null
2,las nacionalidades,estadounidense,U.S. citizen,MC,0,null
2,las nacionalidades,francés/francesa,French,MC,646,null
2,las nacionalidades,guatemalteco/a,Guatemalan,MC,0,null
2,las nacionalidades,hondureño/a,Honduran,MC,0,null
2,las nacionalidades,japonés/japonesa,Japanese,MC,2169,null
2,las nacionalidades,marroquí,Moroccan,MC,0,null
2,las nacionalidades,mexicano/a,Mexican,MC,3892,null
2,las nacionalidades,nicaragüense,Nicaraguan,MC,0,null
2,las nacionalidades,nigeriano/a,Nigerian,MC,0,null
2,las nacionalidades,panameño/a,Panamanian,MC,0,null
2,las nacionalidades,paraguayo/a,Paraguayan,MC,0,null
2,las nacionalidades,peruano/a,Peruvian,MC,4359,null
2,las nacionalidades,polaco/a,Polish,MC,0,null
2,las nacionalidades,portugués/portuguesa,Portuguese,MC,3913,null
2,las nacionalidades,puertorriqueño/a,Puerto Rican,MC,0,null
2,las nacionalidades,salvadoreño/a,Salvadoran,MC,0,null
2,las nacionalidades,uruguayo/a,Uruguayan,MC,0,null
2,las nacionalidades,venezolano/a,Venezuelan,MC,0,null
2,title,palabras y expreciones útiles,useful words and expressions,MC,0,null
2,palabras y expreciones útiles,el auto/ el coche/ el carro,car,picture,2259,auto
2,palabras y expreciones útiles,de,of/ from,MC,2,null
2,palabras y expreciones útiles,¿de quién?,whose?,MC,292,null
2,palabras y expreciones útiles,del,of the (contraction of de + el),MC,2,null
2,palabras y expreciones útiles,el esposo/la esposa,husband/wife,MC,2676,null
2,palabras y expreciones útiles,la flor,flower,picture,950,flor
2,palabras y expreciones útiles,le gusta(n),you (formal) like,MC,353,null
2,palabras y expreciones útiles,los lentes de contacto,contact lenses,picture,4193,lentes de contacto
2,palabras y expreciones útiles,me gusta(n),I like,MC,353,null
2,palabras y expreciones útiles,mucho (adv.),much/ a lot,MC,45,null
2,palabras y expreciones útiles,mucho/a (adj.),many,MC,45,null
2,palabras y expreciones útiles,el ojo,eye,picture,247,ojo
2,palabras y expreciones útiles,el pelo,hair,picture,1056,pelo
2,palabras y expreciones útiles,te gusta(n),you (familiar) like,MC,353,null
2,palabras y expreciones útiles,Tengo... años.,I am... years old.,MC,55,null
2,palabras y expreciones útiles,tiene,he/she has; you (formal) have,MC,18,null
2,palabras y expreciones útiles,todos/as,everybody,MC,22,null
2,palabras y expreciones útiles,mi(s),my,MC,49,null
2,palabras y expreciones útiles,tu(s),your (familiar),MC,349,null
2,palabras y expreciones útiles,su(s),your (formal)/ his/ her/ its/ their,MC,14,null
2,palabras y expreciones útiles,nuestro(s)/ nuestra(s),our,MC,82,null
3,title,las diversiones y las celebraciones,entertainment and celebrations,MC,0,null
3,las diversiones y las celebraciones,la canción,song,Las palabras que una persona canta.,1459,null
3,las diversiones y las celebraciones,el cumpleaños,birthday,MC,3785,null
3,las diversiones y las celebraciones,la fiesta,party,Cuando las personas celebran.,988,null
3,las diversiones y las celebraciones,la guitarra,guitar,picture,2885,guitarra
3,las diversiones y las celebraciones,la música,music,picture,550,musica
3,las diversiones y las celebraciones,la película,film,MC,826,null
3,las diversiones y las celebraciones,la reunión,meeting/ gathering,MC,746,null
3,las diversiones y las celebraciones,el tiempo libre,free time,Cuando no tienes trabajo.,413,null
3,las diversiones y las celebraciones,las vacaciones,vacation,MC,1623,null
3,title,las personas,people,MC,0,null
3,las personas,el/la camarero/a,server/ waiter/waitress (restaurant),MC,0,null
3,las personas,el hombre,man,picture,80,hombre
3,las personas,el/la joven,young man/woman,MC,442,null
3,las personas,la mujer,woman,picture,127,mujer
3,title,la comunicación,communication,MC,0,null
3,la comunicación,el periódico,newspaper,picture,765,periodico
3,la comunicación,la revista,magazine,picture,804,revista
3,la comunicación,el teléfono,telephone,picture,999,telefono
3,title,los lugares,places,MC,0,null
